kierunek;wynagrodzenie;uczelnia;rok;forma;poziom;wskaznik;binary;województwo;stopa_bezr;absolwenci;kierunki
 Mechanika i budowa maszyn ;3848,77; Politechnika Warszawska ;2018;Stacjonarne;I stopnia; 0.79 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Inżynieria biomedyczna ;3675,53; Politechnika Warszawska ;2018;Stacjonarne;II stopnia; 0.79 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Inżynieria biomedyczna ;3675,53; Politechnika Warszawska ;2018;Stacjonarne;II stopnia; 0.79 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Mechanika i budowa maszyn ;3848,77; Politechnika Warszawska ;2018;Stacjonarne;I stopnia; 0.79 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Mechatronika ;4147,95; Politechnika Warszawska ;2018;Stacjonarne;I stopnia; 0.77 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Mechatronika ;4461,81; Politechnika Warszawska ;2018;Stacjonarne;II stopnia; 0.77 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Administracja ;4014,03; Politechnika Warszawska ;2018;Niestacjonarne;II stopnia; 0.76 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
 Transport ;3989,58; Politechnika Warszawska ;2018;Stacjonarne;I stopnia; 0.75 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Automatyka i robotyka ;4172,28; Politechnika Warszawska ;2018;Stacjonarne;I stopnia; 0.75 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Technologia chemiczna ;3056,16; Politechnika Warszawska ;2018;Stacjonarne;I stopnia; 0.74 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Budownictwo ;3382,72; Politechnika Warszawska ;2018;Stacjonarne;I stopnia; 0.74 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Fotonika ;4334,19; Politechnika Warszawska ;2018;Stacjonarne;II stopnia; 0.73 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
 Fotonika ;4334,19; Politechnika Warszawska ;2018;Stacjonarne;II stopnia; 0.73 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
 Inżynieria Pojazdów Elektrycznych i Hybrydowych ;3259,91; Politechnika Warszawska ;2018;Stacjonarne;I stopnia; 0.73 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Geodezja i kartografia ;3828,19; Politechnika Warszawska ;2018;Stacjonarne;II stopnia; 0.73 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Matematyka ;3781,65; Politechnika Warszawska ;2018;Stacjonarne;I stopnia; 0.72 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
 Technologia chemiczna ;3501,06; Politechnika Warszawska ;2018;Stacjonarne;II stopnia; 0.72 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Ekonomia ;2966,68; Politechnika Warszawska ;2018;Niestacjonarne;II stopnia; 0.71 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ekonomiczne
 Technologia chemiczna ;3663,92; Politechnika Warszawska ;2018;Stacjonarne;II stopnia; 0.71 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Gospodarka przestrzenna ;3925,11; Politechnika Warszawska ;2018;Stacjonarne;II stopnia; 0.7 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Energetyka ;3605,45; Politechnika Warszawska ;2018;Stacjonarne;I stopnia; 0.7 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Inżynieria środowiska ;4155,43; Politechnika Warszawska ;2018;Niestacjonarne;II stopnia; 0.69 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Elektrotechnika ;4000; Politechnika Warszawska ;2018;Stacjonarne;I stopnia; 0.69 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Biotechnologia ;3883,97; Politechnika Warszawska ;2018;Stacjonarne;II stopnia; 0.68 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki przyrodnicze
 Mechanika i budowa maszyn ;3051,95; Politechnika Warszawska ;2018;Niestacjonarne;I stopnia; 0.68 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Automatyka i robotyka ;3714,32; Politechnika Warszawska ;2018;Stacjonarne;I stopnia; 0.68 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Mechatronika ;3700; Politechnika Warszawska ;2018;Stacjonarne;I stopnia; 0.66 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Papiernictwo i poligrafia ;3431,95; Politechnika Warszawska ;2018;Stacjonarne;I stopnia; 0.66 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Geodezja i kartografia ;3071,03; Politechnika Warszawska ;2018;Niestacjonarne;I stopnia; 0.65 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Inżynieria zarządzania ;3819,94; Politechnika Warszawska ;2018;Stacjonarne;I stopnia; 0.65 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Mechanika i budowa maszyn ;3381,27; Politechnika Warszawska ;2018;Stacjonarne;I stopnia; 0.64 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Administracja ;3438,05; Politechnika Warszawska ;2018;Stacjonarne;II stopnia; 0.64 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
 Lotnictwo i Kosmonautyka ;3264,74; Politechnika Warszawska ;2018;Stacjonarne;I stopnia; 0.63 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Ekonomia ;3020,65; Politechnika Warszawska ;2018;Niestacjonarne;I stopnia; 0.63 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ekonomiczne
 Ochrona środowiska ;3227,36; Politechnika Warszawska ;2018;Stacjonarne;I stopnia; 0.63 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki przyrodnicze
 Automatyka i robotyka ;3341,8; Politechnika Warszawska ;2018;Stacjonarne;I stopnia; 0.63 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Ochrona środowiska ;3393,23; Politechnika Warszawska ;2018;Stacjonarne;II stopnia; 0.63 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki przyrodnicze
 Budownictwo ;3555,04; Politechnika Warszawska ;2018;Stacjonarne;I stopnia; 0.62 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Inżynieria materiałowa ;3325; Politechnika Warszawska ;2018;Stacjonarne;I stopnia; 0.6 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Inżynieria środowiska ;3369,07; Politechnika Warszawska ;2018;Stacjonarne;I stopnia; 0.58 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Mechanika i budowa maszyn ;2520,83; Politechnika Warszawska ;2018;Stacjonarne;I stopnia; 0.58 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Geodezja i kartografia ;2675; Politechnika Warszawska ;2018;Niestacjonarne;II stopnia; 0.58 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Budownictwo ;3150,07; Politechnika Warszawska ;2018;Stacjonarne;II stopnia; 0.57 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Budownictwo ;3688,35; Politechnika Warszawska ;2018;Niestacjonarne;I stopnia; 0.56 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Gospodarka przestrzenna ;3094,8; Politechnika Warszawska ;2018;Stacjonarne;I stopnia; 0.55 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Zarządzanie ;3059,22; Politechnika Warszawska ;2018;Stacjonarne;I stopnia; 0.54 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ekonomiczne
 Technologia chemiczna ;3255,73; Politechnika Warszawska ;2018;Stacjonarne;I stopnia; 0.53 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Administracja ;3190,41; Politechnika Warszawska ;2018;Stacjonarne;I stopnia; 0.53 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
 Geodezja i kartografia ;2403,33; Politechnika Warszawska ;2018;Stacjonarne;I stopnia; 0.51 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Inżynieria chemiczna i procesowa ;2697,22; Politechnika Warszawska ;2018;Stacjonarne;I stopnia; 0.49 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Ekonomia ;2192,93; Politechnika Warszawska ;2018;Stacjonarne;II stopnia; 0.49 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ekonomiczne
 Inżynieria środowiska ;2012,5; Politechnika Warszawska ;2018;Stacjonarne;I stopnia; 0.48 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Architektura ;2909,81; Politechnika Warszawska ;2018;Stacjonarne;II stopnia; 0.48 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Architektura i urbanistyka ;2137,5; Politechnika Warszawska ;2018;Niestacjonarne;II stopnia; 0.44 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Fizyka techniczna ;1980; Politechnika Warszawska ;2018;Stacjonarne;I stopnia; 0.41 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
 Architektura ;2223,6; Politechnika Warszawska ;2018;Niestacjonarne;II stopnia; 0.41 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Architektura i urbanistyka ;2445,91; Politechnika Warszawska ;2018;Stacjonarne;II stopnia; 0.4 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Ekonomia ;1818,04; Politechnika Warszawska ;2018;Stacjonarne;I stopnia; 0.4 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ekonomiczne
 Architektura i urbanistyka ;1719,05; Politechnika Warszawska ;2018;Stacjonarne;I stopnia; 0.37 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Biotechnologia ;1806,44; Politechnika Warszawska ;2018;Stacjonarne;I stopnia; 0.28 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki przyrodnicze
 Fotonika ;1185,89; Politechnika Warszawska ;2018;Stacjonarne;I stopnia; 0.18 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
 Architektura i urbanistyka ;1116,01; Politechnika Warszawska ;2018;Niestacjonarne;I stopnia; 0.16 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Informatyka ;8699,17; Politechnika Wrocławska ;2018;Niestacjonarne;II stopnia; 1.87 ;Drugi prog;dolnośląskie;5,2;104;Kierunki ścisłe
 Informatyka ;8963,83; Politechnika Wrocławska ;2018;Niestacjonarne;II stopnia; 1.69 ;Drugi prog;dolnośląskie;5,2;104;Kierunki ścisłe
 Automatyka i robotyka ;7109,74; Politechnika Wrocławska ;2018;Niestacjonarne;II stopnia; 1.53 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Informatyka ;6232,55; Politechnika Wrocławska ;2018;Niestacjonarne;I stopnia; 1.45 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki ścisłe
 Górnictwo i geologia ;8272,03; Politechnika Wrocławska ;2018;Niestacjonarne;II stopnia; 1.44 ;Drugi prog;dolnośląskie;5,2;104;Kierunki techniczne
 Zarządzanie i inżynieria produkcji ;6355,94; Politechnika Wrocławska ;2018;Niestacjonarne;II stopnia; 1.41 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Informatyka ;7039,3; Politechnika Wrocławska ;2018;Stacjonarne;II stopnia; 1.41 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki ścisłe
 Telekomunikacja ;6717,73; Politechnika Wrocławska ;2018;Stacjonarne;II stopnia; 1.38 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki ścisłe
 Elektrotechnika ;6419,38; Politechnika Wrocławska ;2018;Niestacjonarne;II stopnia; 1.38 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Informatyka ;6522,24; Politechnika Wrocławska ;2018;Stacjonarne;II stopnia; 1.34 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki ścisłe
 Informatyka ;6707,99; Politechnika Wrocławska ;2018;Stacjonarne;II stopnia; 1.33 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki ścisłe
 Mechanika i budowa maszyn ;6258,08; Politechnika Wrocławska ;2018;Niestacjonarne;II stopnia; 1.28 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Informatyka ;6223,14; Politechnika Wrocławska ;2018;Stacjonarne;I stopnia; 1.25 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki ścisłe
 Informatyka ;6557,74; Politechnika Wrocławska ;2018;Stacjonarne;II stopnia; 1.23 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki ścisłe
 Zarządzanie i inżynieria produkcji ;5917,72; Politechnika Wrocławska ;2018;Niestacjonarne;I stopnia; 1.2 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Telekomunikacja ;6060,67; Politechnika Wrocławska ;2018;Niestacjonarne;I stopnia; 1.17 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki ścisłe
 Informatyka ;4980,08; Politechnika Wrocławska ;2018;Stacjonarne;I stopnia; 1.15 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki ścisłe
 Teleinformatyka - k. unikatowy ;5236,47; Politechnika Wrocławska ;2018;Stacjonarne;I stopnia; 1.15 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki ścisłe
 Mechanika i budowa maszyn ;5434,99; Politechnika Wrocławska ;2018;Niestacjonarne;I stopnia; 1.14 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Elektronika ;5261,72; Politechnika Wrocławska ;2018;Stacjonarne;II stopnia; 1.14 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Zarządzanie ;5544,37; Politechnika Wrocławska ;2018;Niestacjonarne;II stopnia; 1.1 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki ekonomiczne
 Elektrotechnika ;4860,51; Politechnika Wrocławska ;2018;Stacjonarne;II stopnia; 1.1 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Teleinformatyka - k. unikatowy ;4981,61; Politechnika Wrocławska ;2018;Stacjonarne;II stopnia; 1.07 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki ścisłe
 Zarządzanie ;5130,11; Politechnika Wrocławska ;2018;Stacjonarne;II stopnia; 1.07 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki ekonomiczne
 Informatyka ;4871,8; Politechnika Wrocławska ;2018;Stacjonarne;I stopnia; 1.07 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki ścisłe
 Elektrotechnika ;5264,36; Politechnika Wrocławska ;2018;Niestacjonarne;I stopnia; 1.06 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Automatyka i robotyka ;5167,56; Politechnika Wrocławska ;2018;Stacjonarne;II stopnia; 1.04 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Budownictwo ;4847,77; Politechnika Wrocławska ;2018;Niestacjonarne;II stopnia; 1.02 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Mechatronika ;4714,46; Politechnika Wrocławska ;2018;Stacjonarne;II stopnia; 1.02 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Górnictwo i geologia ;4751,82; Politechnika Wrocławska ;2018;Niestacjonarne;I stopnia; 1.02 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Applied Mathematics ;4820,68; Politechnika Wrocławska ;2018;Stacjonarne;II stopnia; 1.01 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki ścisłe
 Matematyka ;4908,25; Politechnika Wrocławska ;2018;Stacjonarne;II stopnia;1;Pierwszy prog;dolnośląskie;5,2;104;Kierunki ścisłe
 Mechatronika ;4393,84; Politechnika Wrocławska ;2018;Stacjonarne;II stopnia; 0.92 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Mechanika i budowa maszyn ;4326,78; Politechnika Wrocławska ;2018;Stacjonarne;II stopnia; 0.91 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Mechanika i budowa maszyn ;4354,2; Politechnika Wrocławska ;2018;Stacjonarne;II stopnia; 0.91 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Automatyka i robotyka ;4709,77; Politechnika Wrocławska ;2018;Stacjonarne;II stopnia; 0.9 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Technologia chemiczna ;4076,69; Politechnika Wrocławska ;2018;Niestacjonarne;I stopnia; 0.9 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Budownictwo ;3797,17; Politechnika Wrocławska ;2018;Niestacjonarne;I stopnia; 0.9 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Inżynieria systemów - k. unikatowy ;4327,06; Politechnika Wrocławska ;2018;Stacjonarne;II stopnia; 0.89 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Automatyka i robotyka ;4506,37; Politechnika Wrocławska ;2018;Stacjonarne;II stopnia; 0.87 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Automatyka i robotyka ;4506,37; Politechnika Wrocławska ;2018;Stacjonarne;II stopnia; 0.87 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Zarządzanie i inżynieria produkcji ;3824,61; Politechnika Wrocławska ;2018;Stacjonarne;II stopnia; 0.83 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Elektrotechnika ;4105,64; Politechnika Wrocławska ;2018;Stacjonarne;II stopnia; 0.83 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Energetyka ;3849,93; Politechnika Wrocławska ;2018;Niestacjonarne;I stopnia; 0.83 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Elektronika ;3639,23; Politechnika Wrocławska ;2018;Stacjonarne;I stopnia; 0.82 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Fizyka techniczna ;4224,16; Politechnika Wrocławska ;2018;Stacjonarne;I stopnia; 0.81 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki ścisłe
 Elektronika i telekomunikacja ;4005,47; Politechnika Wrocławska ;2018;Stacjonarne;II stopnia; 0.8 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki ścisłe
 Telekomunikacja ;3537,2; Politechnika Wrocławska ;2018;Stacjonarne;I stopnia; 0.79 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki ścisłe
 Mechanika i budowa maszyn ;3573,09; Politechnika Wrocławska ;2018;Stacjonarne;I stopnia; 0.79 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Inżynieria chemiczna i procesowa ;3826,62; Politechnika Wrocławska ;2018;Stacjonarne;II stopnia; 0.79 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Energetyka ;3587,16; Politechnika Wrocławska ;2018;Stacjonarne;II stopnia; 0.77 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Inżynieria biomedyczna ;3494,13; Politechnika Wrocławska ;2018;Stacjonarne;II stopnia; 0.75 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Elektronika i telekomunikacja ;3296,71; Politechnika Wrocławska ;2018;Stacjonarne;I stopnia; 0.74 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki ścisłe
 Inżynieria środowiska ;3510,6; Politechnika Wrocławska ;2018;Niestacjonarne;II stopnia; 0.74 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Budownictwo ;3496,61; Politechnika Wrocławska ;2018;Stacjonarne;II stopnia; 0.73 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Mechatronika ;3712,56; Politechnika Wrocławska ;2018;Stacjonarne;I stopnia; 0.73 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Optyka - k. unikatowy ;3208,11; Politechnika Wrocławska ;2018;Stacjonarne;II stopnia; 0.71 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki medyczne
 Technologia chemiczna ;2927,02; Politechnika Wrocławska ;2018;Stacjonarne;I stopnia; 0.69 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Inżynieria biomedyczna ;3533,8; Politechnika Wrocławska ;2018;Stacjonarne;II stopnia; 0.69 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Elektrotechnika ;3000; Politechnika Wrocławska ;2018;Stacjonarne;I stopnia; 0.69 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Elektrotechnika ;3000; Politechnika Wrocławska ;2018;Stacjonarne;I stopnia; 0.69 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Technologia chemiczna ;2927,02; Politechnika Wrocławska ;2018;Stacjonarne;I stopnia; 0.69 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Technologia chemiczna ;3369,08; Politechnika Wrocławska ;2018;Stacjonarne;II stopnia; 0.68 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Automatyka i robotyka ;3190,72; Politechnika Wrocławska ;2018;Stacjonarne;I stopnia; 0.68 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Inżynieria środowiska ;2983,33; Politechnika Wrocławska ;2018;Niestacjonarne;I stopnia; 0.67 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Matematyka ;3600,87; Politechnika Wrocławska ;2018;Stacjonarne;I stopnia; 0.67 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki ścisłe
 Automatyka i robotyka ;2951,27; Politechnika Wrocławska ;2018;Stacjonarne;I stopnia; 0.67 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Matematyka stosowana ;3358,94; Politechnika Wrocławska ;2018;Stacjonarne;I stopnia; 0.66 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki ścisłe
 Zarządzanie i inżynieria produkcji ;2985,96; Politechnika Wrocławska ;2018;Stacjonarne;I stopnia; 0.65 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Mechatronika ;3154,26; Politechnika Wrocławska ;2018;Stacjonarne;I stopnia; 0.65 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Zarządzanie ;3278,01; Politechnika Wrocławska ;2018;Stacjonarne;II stopnia; 0.64 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki ekonomiczne
 Inżynieria materiałowa ;3084,77; Politechnika Wrocławska ;2018;Stacjonarne;II stopnia; 0.63 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Zarządzanie ;2978,87; Politechnika Wrocławska ;2018;Stacjonarne;I stopnia; 0.62 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki ekonomiczne
 Inżynieria środowiska ;3105,57; Politechnika Wrocławska ;2018;Stacjonarne;II stopnia; 0.62 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Mechanika i budowa maszyn ;3110,61; Politechnika Wrocławska ;2018;Stacjonarne;I stopnia; 0.61 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Biotechnologia ;3000; Politechnika Wrocławska ;2018;Stacjonarne;II stopnia; 0.61 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki przyrodnicze
 Górnictwo i geologia ;2971,5; Politechnika Wrocławska ;2018;Stacjonarne;II stopnia; 0.61 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Mechatronika ;2744,92; Politechnika Wrocławska ;2018;Stacjonarne;I stopnia; 0.6 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Optyka - k. unikatowy ;2872,3; Politechnika Wrocławska ;2018;Stacjonarne;I stopnia; 0.6 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki medyczne
 Budownictwo ;2862,9; Politechnika Wrocławska ;2018;Stacjonarne;I stopnia; 0.6 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Budownictwo ;2862,9; Politechnika Wrocławska ;2018;Stacjonarne;I stopnia; 0.6 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Transport ;2767,42; Politechnika Wrocławska ;2018;Stacjonarne;I stopnia; 0.59 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Chemia ;2406,88; Politechnika Wrocławska ;2018;Stacjonarne;I stopnia; 0.58 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki ścisłe
 Inżynieria chemiczna i procesowa ;2681,72; Politechnika Wrocławska ;2018;Stacjonarne;I stopnia; 0.56 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Geodezja i kartografia ;2653,53; Politechnika Wrocławska ;2018;Stacjonarne;I stopnia; 0.54 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Energetyka ;2824,1; Politechnika Wrocławska ;2018;Stacjonarne;I stopnia; 0.52 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Inżynieria środowiska ;2402,77; Politechnika Wrocławska ;2018;Stacjonarne;I stopnia; 0.51 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Gospodarka przestrzenna ;2573,2; Politechnika Wrocławska ;2018;Stacjonarne;II stopnia; 0.5 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Inżynieria biomedyczna ;2398,03; Politechnika Wrocławska ;2018;Stacjonarne;I stopnia; 0.49 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Architektura ;2349,89; Politechnika Wrocławska ;2018;Stacjonarne;II stopnia; 0.48 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Biotechnologia ;2266,65; Politechnika Wrocławska ;2018;Stacjonarne;II stopnia; 0.48 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki przyrodnicze
 Górnictwo i geologia ;2253,73; Politechnika Wrocławska ;2018;Stacjonarne;I stopnia; 0.48 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Technologie ochrony środowiska ;2556,76; Politechnika Wrocławska ;2018;Stacjonarne;I stopnia; 0.47 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki przyrodnicze
 Inżynieria materiałowa ;2291,37; Politechnika Wrocławska ;2018;Stacjonarne;I stopnia; 0.44 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Biotechnologia ;1859,45; Politechnika Wrocławska ;2018;Stacjonarne;I stopnia; 0.38 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki przyrodnicze
 Gospodarka przestrzenna ;1909,09; Politechnika Wrocławska ;2018;Stacjonarne;I stopnia; 0.37 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Architektura ;1440,64; Politechnika Wrocławska ;2018;Stacjonarne;I stopnia; 0.34 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki techniczne
 Informatyka ;9233,36; Polsko-Japońska Akademia Technik Komputerowych ;2018;Niestacjonarne;II stopnia; 1.84 ;Drugi prog;mazowieckie;4,9;113;Kierunki ścisłe
